date_utc,residence,element,ancien_statut,nouveau_statut
2026-07-05 20:55,Fac-Habitat Adélaïde (Bourg-la-Reine),badge,(début du suivi),Dispo à venir
2026-07-05 20:55,Fac-Habitat Adélaïde (Bourg-la-Reine),logement T1,(début du suivi),Complet
2026-07-05 20:55,Fac-Habitat Hortense Wild (Châtillon),badge,(début du suivi),Dispo à venir
2026-07-05 20:55,Fac-Habitat Hortense Wild (Châtillon),logement T1,(début du suivi),Complet
2026-07-05 20:55,Fac-Habitat Erwin Guldner (Sceaux),badge,(début du suivi),Complet
2026-07-05 20:55,Fac-Habitat Erwin Guldner (Sceaux),logement T1,(début du suivi),Complet
2026-07-05 20:55,Fac-Habitat Julie Victoire Daubié (Malakoff),badge,(début du suivi),Complet
2026-07-05 20:55,Fac-Habitat Julie Victoire Daubié (Malakoff),logement T1,(début du suivi),Complet
2026-07-05 20:55,Fac-Habitat Pierre Ringenbach (Sceaux),badge,(début du suivi),Dispo à venir
2026-07-05 20:55,Fac-Habitat Pierre Ringenbach (Sceaux),logement T1,(début du suivi),Complet
